"status_id","when","stress_mellin","healthiness","pam_pa","activity"
1890,2012-10-10 15:18:59,3,1,"11","walk"
2014,2012-10-10 22:08:02,4,-1,"7","walk"
2135,2012-10-11 13:26:18,3,3,"14","walk"
2340,2012-10-11 22:16:56,2,2,"11","walk"
2410,2012-10-12 00:35:10,4,2,"8","walk"
2529,2012-10-12 15:35:01,2,1,"11","walk"
2530,2012-10-12 15:48:40,3,-2,"9","walk"
2694,2012-10-12 23:50:12,3,-1,"11","walk"
2848,2012-10-13 17:08:28,3,0,"10","walk"
2908,2012-10-13 20:14:45,3,1,"9","run"
2962,2012-10-13 22:59:59,4,-2,"7","run"
3221,2012-10-14 21:39:11,2,2,"5","run"
3238,2012-10-14 22:28:13,2,0,"3","walk"
3338,2012-10-15 12:32:54,4,-1,"5","walk"
3442,2012-10-15 15:18:49,2,2,"8","walk"
3593,2012-10-15 22:19:34,2,2,"13","sit"
3809,2012-10-16 18:08:04,4,-3,"8","walk"
3810,2012-10-16 18:13:07,4,-1,"3","sit"
3908,2012-10-17 01:02:30,4,-2,"6","sit"
4012,2012-10-17 15:20:47,4,1,"8","walk"
4153,2012-10-17 22:32:48,4,0,"7","walk"
4223,2012-10-18 03:19:37,5,2,"3","walk"
4304,2012-10-18 15:00:18,5,3,"8","walk"
4390,2012-10-18 17:55:05,5,0,"8","walk"
4428,2012-10-18 21:05:01,5,2,"8","run"
4519,2012-10-19 04:26:02,4,0,"7","walk"
5512,2012-10-22 22:20:52,4,1,"3","walk"
6020,2012-10-24 19:47:43,4,1,"8","walk"
6262,2012-10-25 17:53:40,5,-3,"5","walk"
6338,2012-10-25 23:48:53,4,0,"7","walk"
